,GUID,ID,Verb,Conjugated,English,Greek Sentence,English Sentence,Tense,Person,Number
181,zb60OvoCCM,1,γράφω,έγραψες,You wrote,Έγραψες ένα γράμμα.,You wrote a letter.,Past Simple,2nd,Singular
182,Qwgyn43QlU,2,γράφω,έγραψε,He/She/It wrote,Έγραψε ένα γράμμα.,He/She/It wrote a letter.,Past Simple,3rd,Singular
183,QxKdUbk4Od,3,γράφω,γράψαμε,We wrote,Γράψαμε ένα γράμμα.,We wrote a letter.,Past Simple,1st,Plural
184,jDEbdtE76d,4,γράφω,γράψατε,You wrote,Γράψατε ένα γράμμα.,You wrote a letter.,Past Simple,2nd,Plural
185,BN9V0tr57E,5,γράφω,έγραψαν,They wrote,Έγραψαν ένα γράμμα.,They wrote a letter.,Past Simple,3rd,Plural
186,sW02VKBpbN,6,γράφω,έγραφα,I was writing,Έγραφα ένα γράμμα.,I was writing a letter.,Past Continuous,1st,Singular
187,hzz0lZXOko,7,γράφω,έγραφες,You were writing,Έγραφες ένα γράμμα.,You were writing a letter.,Past Continuous,2nd,Singular
188,JWWx1xFNkN,8,γράφω,έγραφε,He/She/It was writing,Έγραφε ένα γράμμα.,He/She/It was writing a letter.,Past Continuous,3rd,Singular
189,FicFrftrjT,9,γράφω,γράφανε,We were writing,Γράφαμε ένα γράμμα.,We were writing a letter.,Past Continuous,1st,Plural
190,zJDsVMt2LS,10,γράφω,γράφετε,You were writing,Γράφατε ένα γράμμα.,You were writing a letter.,Past Continuous,2nd,Plural
191,lMgn5Cqmzi,11,γράφω,έγραφαν,They were writing,Έγραφαν ένα γράμμα.,They were writing a letter.,Past Continuous,3rd,Plural
192,Foy6YVVJQU,12,γράφω,γράφω,I write,Γράφω ένα γράμμα.,I write a letter.,Present,1st,Singular
193,8WTwqBOWA8,13,γράφω,γράφεις,You write,Γράφεις ένα γράμμα.,You write a letter.,Present,2nd,Singular
194,qE2PzrrqfX,14,γράφω,γράφει,He/She/It writes,Γράφει ένα γράμμα.,He/She/It writes a letter.,Present,3rd,Singular
195,7PtPYkTRcP,15,γράφω,γράφουμε,We write,Γράφουμε ένα γράμμα.,We write a letter.,Present,1st,Plural
196,v4ruohAvJA,16,γράφω,γράφετε,You write,Γράφετε ένα γράμμα.,You write a letter.,Present,2nd,Plural
197,04NWSqMeR3,17,γράφω,γράφουν,They write,Γράφουν ένα γράμμα.,They write a letter.,Present,3rd,Plural
198,qZZASjHSz2,18,γράφω,θα γράφω,I will be writing,Θα γράφω ένα γράμμα.,I will be writing a letter.,Future Continuous,1st,Singular
199,mcBZp42wDM,19,γράφω,θα γράφεις,You will be writing,Θα γράφεις ένα γράμμα.,You will be writing a letter.,Future Continuous,2nd,Singular
200,IOCt0YTVR4,20,γράφω,θα γράφει,He/She/It will be writing,Θα γράφει ένα γράμμα.,He/She/It will be writing a letter.,Future Continuous,3rd,Singular
201,ZsPhofGs4w,21,γράφω,θα γράφουμε,We will be writing,Θα γράφουμε ένα γράμμα.,We will be writing a letter.,Future Continuous,1st,Plural
202,IPn3KB6jen,22,γράφω,θα γράφετε,You will be writing,Θα γράφετε ένα γράμμα.,You will be writing a letter.,Future Continuous,2nd,Plural
203,ENyfdrAR5w,23,γράφω,θα γράφουν,They will be writing,Θα γράφουν ένα γράμμα.,They will be writing a letter.,Future Continuous,3rd,Plural
204,rcIBJ7QC5m,24,γράφω,θα γράψω,I will write,Θα γράψω ένα γράμμα.,I will write a letter.,Future Simple,1st,Singular
205,OPuJMrXjlG,25,γράφω,θα γράψεις,You will write,Θα γράψεις ένα γράμμα.,You will write a letter.,Future Simple,2nd,Singular
206,vZBqxLvOMu,26,γράφω,θα γράψει,He/She/It will write,Θα γράψει ένα γράμμα.,He/She/It will write a letter.,Future Simple,3rd,Singular
207,CDqc6VVvf3,27,γράφω,θα γράψουμε,We will write,Θα γράψουμε ένα γράμμα.,We will write a letter.,Future Simple,1st,Plural
208,ZVmzXasSNw,28,γράφω,θα γράψετε,You will write,Θα γράψετε ένα γράμμα.,You will write a letter.,Future Simple,2nd,Plural
209,u8tNPcyke1,29,γράφω,θα γράψουν,They will write,Θα γράψουν ένα γράμμα.,They will write a letter.,Future Simple,3rd,Plural
210,21bp9Lz1vg,0,δίνω,έδωσα,I gave,Έδωσα ένα βιβλίο στον φίλο μου.,I gave a book to my friend.,Past Simple,1st,Singular
211,DwN4b1UaRR,1,δίνω,έδωσες,You gave,Έδωσες ένα δώρο στην αδερφή σου;,You gave a gift to your sister?,Past Simple,2nd,Singular
212,kjnQ44GxDh,2,δίνω,έδωσε,He/She/It gave,Ο πατέρας μου έδωσε ένα αυτοκίνητο.,My father gave a car.,Past Simple,3rd,Singular
213,PuANf1ZPNm,3,δίνω,δώσαμε,We gave,Δώσαμε λεφτά στην εκκλησία.,We gave money to the church.,Past Simple,1st,Plural
214,Z4Kag4nIXR,4,δίνω,δώσατε,You gave,Δώσατε χρήματα στους φτωχούς;,You gave money to the poor?,Past Simple,2nd,Plural
215,hHF6vZkEMO,5,δίνω,έδωσαν,They gave,Έδωσαν φαγητό στους άστεγους.,They gave food to the homeless.,Past Simple,3rd,Plural
216,IB425SMk6X,6,δίνω,έδινα,I was giving,Έδινα χρήματα σε φιλανθρωπία.,I was giving money to charity.,Past Continuous,1st,Singular
217,UpjPLTxZ9Z,7,δίνω,έδινες,You were giving,Έδινες φαγητό στους πεινασμένους;,You were giving food to the hungry?,Past Continuous,2nd,Singular
218,HySOhR9l5F,8,δίνω,έδινε,He/She/It was giving,Έδινε μαθήματα στους μαθητές.,He/She/It was giving lessons to the students.,Past Continuous,3rd,Singular
219,nTKw2MIm2n,9,δίνω,δινάμε,We were giving,Δινάμε χρήματα στους φτωχούς.,We were giving money to the poor.,Past Continuous,1st,Plural
220,wBKXPAz8mg,10,δίνω,δινάτε,You were giving,Δινάτε λεφτά στην εκκλησία;,You were giving money to the church?,Past Continuous,2nd,Plural
221,oCCUD67sh7,11,δίνω,έδιναν,They were giving,Έδιναν βοήθεια στους πληγέντες.,They were giving help to the affected.,Past Continuous,3rd,Plural
222,zmI18GYD03,12,δίνω,δίνω,I give,Δίνω συμβουλές.,I give advice.,Present,1st,Singular
223,LJPfmWiNKV,13,δίνω,δίνεις,You give,Δίνεις προσοχή;,You pay attention?,Present,2nd,Singular
224,xtA6zWpBqz,14,δίνω,δίνει,He/She/It gives,Ο καθηγητής δίνει εξετάσεις.,The professor gives exams.,Present,3rd,Singular
225,Wr0O0crtta,15,δίνω,δίνουμε,We give,Δίνουμε μαθήματα.,We give lessons.,Present,1st,Plural
226,Ui7StXfnb7,16,δίνω,δίνετε,You give,Δίνετε προσοχή;,You pay attention?,Present,2nd,Plural
227,fqH1czJCbb,17,δίνω,δίνουν,They give,Δίνουν βοήθεια.,They give help.,Present,3rd,Plural
228,lqB2jqMXXY,18,δίνω,θα δίνω,I will be giving,Θα δίνω μαθήματα online.,I will be giving online lessons.,Future Continuous,1st,Singular
229,CfOGS6NMEm,19,δίνω,θα δίνεις,You will be giving,Θα δίνεις εξετάσεις;,You will be giving exams?,Future Continuous,2nd,Singular
230,4ZA53KimJq,20,δίνω,θα δίνει,He/She/It will be giving,Θα δίνει διαλέξεις.,He/She/It will be giving lectures.,Future Continuous,3rd,Singular
231,0f0OY9p5YN,21,δίνω,θα δίνουμε,We will be giving,Θα δίνουμε βοήθεια στους άπορους.,We will be giving help to the poor.,Future Continuous,1st,Plural
232,mT7CBsiJSt,22,δίνω,θα δίνετε,You will be giving,Θα δίνετε μαθήματα;,You will be giving lessons?,Future Continuous,2nd,Plural
233,XDGFW8MPey,23,δίνω,θα δίνουν,They will be giving,Θα δίνουν διαλέξεις στο πανεπιστήμιο.,They will be giving lectures at the university.,Future Continuous,3rd,Plural
234,5Y5Svw6tKO,24,δίνω,θα δώσω,I will give,Θα δώσω ένα δώρο στον φίλο μου.,I will give a gift to my friend.,Future Simple,1st,Singular
235,xLUwXNOOTI,25,δίνω,θα δώσεις,You will give,Θα δώσεις χρήματα στους φτωχούς;,You will give money to the poor?,Future Simple,2nd,Singular
236,K5rmXNerKl,26,δίνω,θα δώσει,He/She/It will give,Θα δώσει μια ομιλία.,He/She/It will give a speech.,Future Simple,3rd,Singular
237,1m5Z6j0NIT,27,δίνω,θα δώσουμε,We will give,Θα δώσουμε χρήματα στην εκκλησία.,We will give money to the church.,Future Simple,1st,Plural
238,ArRee5ipWY,28,δίνω,θα δώσετε,You will give,Θα δώσετε βοήθεια στους πληγέντες;,You will give help to the affected?,Future Simple,2nd,Plural
239,gvNeU3jHnA,29,δίνω,θα δώσουν,They will give,Θα δώσουν λεφτά στους φτωχούς.,They will give money to the poor.,Future Simple,3rd,Plural
240,h6F7lXmwBy,0,δουλεύω,Εργάστηκα,I worked,Εργάστηκα σκληρά όλη μέρα.,I worked hard all day.,Past Simple,1st,Singular
241,4WDTMCWHwd,1,δουλεύω,Εργάστηκες,You worked,Εργάστηκες σκληρά όλη μέρα;,You worked hard all day.,Past Simple,2nd,Singular
242,UJTrtRKiC7,2,δουλεύω,Εργάστηκε,He/She/It worked,Εργάστηκε σκληρά όλη μέρα.,He/She/It worked hard all day.,Past Simple,3rd,Singular
243,CLg4rEbeTt,3,δουλεύω,Εργαστήκαμε,We worked,Εργαστήκαμε σκληρά όλη μέρα.,We worked hard all day.,Past Simple,1st,Plural
244,2bqGfRhSQ9,4,δουλεύω,Εργαστήκατε,You worked,Εργαστήκατε σκληρά όλη μέρα.,You worked hard all day.,Past Simple,2nd,Plural
245,zYIimWBc3c,5,δουλεύω,Εργάστηκαν,They worked,Εργάστηκαν σκληρά όλη μέρα.,They worked hard all day.,Past Simple,3rd,Plural
246,ZXvtGbBFuf,6,δουλεύω,Εργαζόμουν,I was working,Εργαζόμουν σκληρά όλη μέρα.,I was working hard all day.,Past Continuous,1st,Singular
247,7Yo2WXQiC2,7,δουλεύω,Εργαζόσουν,You were working,Εργαζόσουν σκληρά όλη μέρα;,You were working hard all day.,Past Continuous,2nd,Singular
248,ChQ2SmsDb0,8,δουλεύω,Εργαζόταν,He/She/It was working,Εργαζόταν σκληρά όλη μέρα.,He/She/It was working hard all day.,Past Continuous,3rd,Singular
249,irc0ZMiPx0,9,δουλεύω,Εργαζόμασταν,We were working,Εργαζόμασταν σκληρά όλη μέρα.,We were working hard all day.,Past Continuous,1st,Plural
250,GsH3rkfFJu,10,δουλεύω,Εργαζόσασταν,You were working,Εργαζόσασταν σκληρά όλη μέρα.,You were working hard all day.,Past Continuous,2nd,Plural
251,lIERYmp2rj,11,δουλεύω,Εργαζόντουσαν,They were working,Εργαζόντουσαν σκληρά όλη μέρα.,They were working hard all day.,Past Continuous,3rd,Plural
252,Et0ccLzPNg,12,δουλεύω,Δουλεύω,I work,Δουλεύω σκληρά.,I work hard.,Present,1st,Singular
253,ZTAIKgDPUm,13,δουλεύω,Δουλεύεις,You work,Δουλεύεις σκληρά;,You work hard.,Present,2nd,Singular
254,uLY7wrXEop,14,δουλεύω,Δουλεύει,He/She/It works,Δουλεύει σκληρά.,He/She/It works hard.,Present,3rd,Singular
255,KqStatPObZ,15,δουλεύω,Δουλεύουμε,We work,Δουλεύουμε σκληρά.,We work hard.,Present,1st,Plural
256,WC1ALiLZ7s,16,δουλεύω,Δουλεύετε,You work,Δουλεύετε σκληρά.,You work hard.,Present,2nd,Plural
257,22ZJaKViLB,17,δουλεύω,Δουλεύουν,They work,Δουλεύουν σκληρά.,They work hard.,Present,3rd,Plural
258,am2p4sF71k,18,δουλεύω,Θα δουλεύω,I will be working,Θα δουλεύω σκληρά αύριο.,I will be working hard tomorrow.,Future Continuous,1st,Singular
259,pSJRKXLAUv,19,δουλεύω,Θα δουλεύεις,You will be working,Θα δουλεύεις σκληρά αύριο;,You will be working hard tomorrow.,Future Continuous,2nd,Singular
260,z2xNmPkhTe,20,δουλεύω,Θα δουλεύει,He/She/It will be working,Θα δουλεύει σκληρά αύριο.,He/She/It will be working hard tomorrow.,Future Continuous,3rd,Singular
261,alCFQJwKJd,21,δουλεύω,Θα δουλεύουμε,We will be working,Θα δουλεύουμε σκληρά αύριο.,We will be working hard tomorrow.,Future Continuous,1st,Plural
262,RFYyRK3keM,22,δουλεύω,Θα δουλεύετε,You will be working,Θα δουλεύετε σκληρά αύριο.,You will be working hard tomorrow.,Future Continuous,2nd,Plural
263,efh6DYCB4B,23,δουλεύω,Θα δουλεύουν,They will be working,Θα δουλεύουν σκληρά αύριο.,They will be working hard tomorrow.,Future Continuous,3rd,Plural
264,3HH8guJ3n4,24,δουλεύω,Θα δουλέψω,I will work,Θα δουλέψω σκληρά αύριο.,I will work hard tomorrow.,Future Simple,1st,Singular
265,4syeQN2YqU,25,δουλεύω,Θα δουλέψεις,You will work,Θα δουλέψεις σκληρά αύριο;,You will work hard tomorrow.,Future Simple,2nd,Singular
266,iR9LG8kuJr,26,δουλεύω,Θα δουλέψει,He/She/It will work,Θα δουλέψει σκληρά αύριο.,He/She/It will work hard tomorrow.,Future Simple,3rd,Singular
267,rD3CGisb0N,27,δουλεύω,Θα δουλέψουμε,We will work,Θα δουλέψουμε σκληρά αύριο.,We will work hard tomorrow.,Future Simple,1st,Plural
268,ZrcLBlSLCe,28,δουλεύω,Θα δουλέψετε,You will work,Θα δουλέψετε σκληρά αύριο.,You will work hard tomorrow.,Future Simple,2nd,Plural
269,cdb6Ix0Twt,29,δουλεύω,Θα δουλέψουν,They will work,Θα δουλέψουν σκληρά αύριο.,They will work hard tomorrow.,Future Simple,3rd,Plural
270,g5stGg7rV6,0,είμαι,ήμουν,I was,Ήμουν στο σπίτι.,I was at home.,Past Simple,1st,Singular
271,xxmgV8WGD4,1,είμαι,ήσουν,You were,Ήσουν στο σχολείο;,Were you at school?,Past Simple,2nd,Singular
272,97d54KH3dR,2,είμαι,ήταν,He/She/It was,Ήταν στο πάρκο.,He/She/It was in the park.,Past Simple,3rd,Singular
273,BpIUrt3SkN,3,είμαι,ήμασταν,We were,Ήμασταν στην παραλία.,We were at the beach.,Past Simple,1st,Plural
274,5vn34niu8t,4,είμαι,ήσασταν,You were,Ήσασταν στο θέατρο;,Were you at the theatre?,Past Simple,2nd,Plural
275,9yJPGQgxVg,5,είμαι,ήταν,They were,Ήταν στο μουσείο.,They were at the museum.,Past Simple,3rd,Plural
276,XFy8TSAEgs,6,είμαι,ήμουν,I was,Ήμουν που έπαιζα πιάνο.,I was playing the piano.,Past Continuous,1st,Singular
277,27zYPra5Ba,7,είμαι,ήσουν,You were,Ήσουν που διάβαζες;,Were you reading?,Past Continuous,2nd,Singular
278,2NDcL8xgPC,8,είμαι,ήταν,He/She/It was,Ήταν που έτρωγε.,He/She/It was eating.,Past Continuous,3rd,Singular
279,wVRGbuzM9E,9,είμαι,ήμασταν,We were,Ήμασταν που τραγουδάγαμε.,We were singing.,Past Continuous,1st,Plural
280,4GdjkDxyVf,10,είμαι,ήσασταν,You were,Ήσασταν που χόρευες;,Were you dancing?,Past Continuous,2nd,Plural
281,LfU8LQj3PU,11,είμαι,ήταν,They were,Ήταν που κοιμόταν.,They were sleeping.,Past Continuous,3rd,Plural
282,LTKKtyf3ZU,12,είμαι,είμαι,I am,Είμαι χαρούμενος.,I am happy.,Present,1st,Singular
283,ClW6fXCtF4,13,είμαι,είσαι,You are,Είσαι καλός.,You are good.,Present,2nd,Singular
284,zK22lzCZ7x,14,είμαι,είναι,He/She/It is,Είναι όμορφο.,It is beautiful.,Present,3rd,Singular
285,Fa8aEtsCjD,15,είμαι,είμαστε,We are,Είμαστε φίλοι.,We are friends.,Present,1st,Plural
286,3TkJBkRG1f,16,είμαι,είστε,You are,Είστε καλά;,Are you well?,Present,2nd,Plural
287,7uVQFUzbU8,17,είμαι,είναι,They are,Είναι έξυπνοι.,They are clever.,Present,3rd,Plural
288,CmUWP7mQEz,18,είμαι,θα είμαι,I will be,Θα είμαι εκεί.,I will be there.,Future Continuous,1st,Singular
289,cDYSo0Nkc7,19,είμαι,θα είσαι,You will be,Θα είσαι έτοιμος;,Will you be ready?,Future Continuous,2nd,Singular
290,zN2sMy52Yi,20,είμαι,θα είναι,He/She/It will be,Θα είναι αργά.,It will be late.,Future Continuous,3rd,Singular
291,WrvpNC14km,21,είμαι,θα είμαστε,We will be,Θα είμαστε μαζί.,We will be together.,Future Continuous,1st,Plural
292,ZlxcLP2E4n,22,είμαι,θα είστε,You will be,Θα είστε εκεί;,Will you be there?,Future Continuous,2nd,Plural
293,1I3tQRTUKG,23,είμαι,θα είναι,They will be,Θα είναι καλά.,They will be fine.,Future Continuous,3rd,Plural
294,ZNCtgVOgQF,24,είμαι,θα είμαι,I will be,Θα είμαι στο σπίτι.,I will be at home.,Future Simple,1st,Singular
295,4kubEFnqhh,25,είμαι,θα είσαι,You will be,Θα είσαι στο σχολείο;,Will you be at school?,Future Simple,2nd,Singular
296,bYzzKJQINO,26,είμαι,θα είναι,He/She/It will be,Θα είναι στο πάρκο.,He/She/It will be in the park.,Future Simple,3rd,Singular
297,Bz3lMstwMS,27,είμαι,θα είμαστε,We will be,Θα είμαστε στην παραλία.,We will be at the beach.,Future Simple,1st,Plural
298,o42JtJPLTU,28,είμαι,θα είστε,You will be,Θα είστε στο θέατρο;,Will you be at the theatre?,Future Simple,2nd,Plural
299,jJZD4yUrXy,29,είμαι,θα είναι,They will be,Θα είναι στο μουσείο.,They will be at the museum.,Future Simple,3rd,Plural
300,KZtnrF4hq8,0,έχω,έχα,I had,Είχα ένα αυτοκίνητο.,I had a car.,Past Simple,1st,Singular
301,M2aNgRGtJr,1,έχω,είχες,You had,Είχες ένα σπίτι.,You had a house.,Past Simple,2nd,Singular
302,ukHdiXpOXw,2,έχω,είχε,He/She/It had,Είχε ένα ποδήλατο.,He/She/It had a bicycle.,Past Simple,3rd,Singular
303,wUm7Tkj3Yk,3,έχω,είχαμε,We had,Είχαμε μια οικογένεια.,We had a family.,Past Simple,1st,Plural
304,1T7h2DnwPB,4,έχω,είχατε,You had,Είχατε ένα κατοικίδιο.,You had a pet.,Past Simple,2nd,Plural
305,6fL5GSks6E,5,έχω,είχαν,They had,Είχαν πολλά χρήματα.,They had a lot of money.,Past Simple,3rd,Plural
306,v7pVGvm0Kh,6,έχω,είχα,I was having,Είχα καφέ.,I was having coffee.,Past Continuous,1st,Singular
307,5wXSzFA4Ou,7,έχω,είχες,You were having,Είχες δείπνο.,You were having dinner.,Past Continuous,2nd,Singular
308,UxEalh0JQn,8,έχω,είχε,He/She/It was having,Είχε μπάνιο.,He/She/It was having a bath.,Past Continuous,3rd,Singular
309,bCPHph1auq,9,έχω,είχαμε,We were having,Είχαμε διακοπές.,We were having holidays.,Past Continuous,1st,Plural
310,MsPNscZ2kx,10,έχω,είχατε,You were having,Είχατε μια συζήτηση.,You were having a discussion.,Past Continuous,2nd,Plural
311,AwnHLtDw4v,11,έχω,είχαν,They were having,Είχαν πάρτι.,They were having a party.,Past Continuous,3rd,Plural
312,Rz2mHmRjQN,12,έχω,έχω,I have,Έχω ένα βιβλίο.,I have a book.,Present,1st,Singular
313,xHH2rT4mwP,13,έχω,έχεις,You have,Έχεις ένα μολύβι.,You have a pencil.,Present,2nd,Singular
314,bewUdbcKw2,14,έχω,έχει,He/She/It has,Έχει μια γάτα.,He/She/It has a cat.,Present,3rd,Singular
315,9Tidbg51JL,15,έχω,έχουμε,We have,Έχουμε ένα σπίτι.,We have a house.,Present,1st,Plural
316,vv6TFL9qz7,16,έχω,έχετε,You have,Έχετε ένα αυτοκίνητο.,You have a car.,Present,2nd,Plural
317,B9V1leQAoI,17,έχω,έχουν,They have,Έχουν ένα σκύλο.,They have a dog.,Present,3rd,Plural
318,j2LJWoKh2R,18,έχω,θα έχω,I will be having,Θα έχω καφέ αύριο.,I will be having coffee tomorrow.,Future Continuous,1st,Singular
319,VPYmmm33HM,19,έχω,θα έχεις,You will be having,Θα έχεις δείπνο αύριο.,You will be having dinner tomorrow.,Future Continuous,2nd,Singular
320,d239vONxgC,20,έχω,θα έχει,He/She/It will be having,Θα έχει μπάνιο αύριο.,He/She/It will be having a bath tomorrow.,Future Continuous,3rd,Singular
321,UPvdceKrdH,21,έχω,θα έχουμε,We will be having,Θα έχουμε διακοπές αύριο.,We will be having holidays tomorrow.,Future Continuous,1st,Plural
322,YKjjigDBsP,22,έχω,θα έχετε,You will be having,Θα έχετε μια συζήτηση αύριο.,You will be having a discussion tomorrow.,Future Continuous,2nd,Plural
323,rGDL9qiSXr,23,έχω,θα έχουν,They will be having,Θα έχουν πάρτι αύριο.,They will be having a party tomorrow.,Future Continuous,3rd,Plural
324,fnuWH3oVAK,24,έχω,θα έχω,I will have,Θα έχω ένα σπίτι.,I will have a house.,Future Simple,1st,Singular
325,rYlxdpaQxo,25,έχω,θα έχεις,You will have,Θα έχεις ένα αυτοκίνητο.,You will have a car.,Future Simple,2nd,Singular
326,BbZts6HqMc,26,έχω,θα έχει,He/She/It will have,Θα έχει μια δουλειά.,He/She/It will have a job.,Future Simple,3rd,Singular
327,m4z91SC3rA,27,έχω,θα έχουμε,We will have,Θα έχουμε παιδιά.,We will have children.,Future Simple,1st,Plural
328,qYb1KwXjc8,28,έχω,θα έχετε,You will have,Θα έχετε διακοπές.,You will have holidays.,Future Simple,2nd,Plural
329,4sy3MVyrOa,29,έχω,θα έχουν,They will have,Θα έχουν επιτυχία.,They will have success.,Future Simple,3rd,Plural
330,AZGuzSEmdk,0,θέλω,ήθελα,I wanted,Ήθελα ένα νέο αυτοκίνητο.,I wanted a new car.,Past Simple,1st,Singular
331,TgHFb9a7QJ,1,θέλω,ήθελες,You wanted,Ήθελες να πας στην παραλία;,You wanted to go to the beach?,Past Simple,2nd,Singular
332,fXiuwQQ4Pr,2,θέλω,ήθελε,He/She/It wanted,Ήθελε να φάει πίτσα.,He/She/It wanted to eat pizza.,Past Simple,3rd,Singular
333,pKULX6C7iY,3,θέλω,θελήσαμε,We wanted,Θελήσαμε να πάμε σινεμά.,We wanted to go to the cinema.,Past Simple,1st,Plural
334,OTI2jB6cbI,4,θέλω,θελήσατε,You wanted,Θελήσατε να βοηθήσετε;,You wanted to help?,Past Simple,2nd,Plural
335,KPzB5byvJO,5,θέλω,ήθελαν,They wanted,Ήθελαν να αγοράσουν ένα σπίτι.,They wanted to buy a house.,Past Simple,3rd,Plural
336,96nymppSLn,6,θέλω,ήθελα,I was wanting,Ήθελα να διαβάσω ένα βιβλίο.,I was wanting to read a book.,Past Continuous,1st,Singular
337,nkxRKj2IYH,7,θέλω,ήθελες,You were wanting,Ήθελες να πας βόλτα;,You were wanting to go for a walk?,Past Continuous,2nd,Singular
338,JpyIxRStHk,8,θέλω,ήθελε,He/She/It was wanting,Ήθελε να δει μια ταινία.,He/She/It was wanting to see a film.,Past Continuous,3rd,Singular
339,16yMPuLahT,9,θέλω,θελάμε,We were wanting,Θελάμε να πάμε διακοπές.,We were wanting to go on holiday.,Past Continuous,1st,Plural
340,MLCznikejg,10,θέλω,θελάτε,You were wanting,Θελάτε να φάτε κάτι;,You were wanting to eat something?,Past Continuous,2nd,Plural
341,N3CfGoglfq,11,θέλω,ήθελαν,They were wanting,Ήθελαν να περάσουν καλά.,They were wanting to have a good time.,Past Continuous,3rd,Plural
342,XBKf45EEjB,12,θέλω,θέλω,I want,θέλω ένα ποτήρι νερό.,I want a glass of water.,Present,1st,Singular
343,eikmSo6VZl,13,θέλω,θέλεις,You want,θέλεις να πιεις καφέ;,You want to drink coffee?,Present,2nd,Singular
344,FefpijHLN2,14,θέλω,θέλει,He/She/It wants,θέλει να φύγει.,He/She/It wants to leave.,Present,3rd,Singular
345,BzIwFdD2EF,15,θέλω,θέλουμε,We want,θέλουμε να πάμε σπίτι.,We want to go home.,Present,1st,Plural
346,YXMJ6275QY,16,θέλω,θέλετε,You want,θέλετε να φάτε;,You want to eat?,Present,2nd,Plural
347,DC2nGaJqN1,17,θέλω,θέλουν,They want,θέλουν να παίξουν.,They want to play.,Present,3rd,Plural
348,NM7Ja6Ya2E,18,θέλω,θα θέλω,I will be wanting,Θα θέλω να σε βοηθήσω.,I will be wanting to help you.,Future Continuous,1st,Singular
349,6mOXtMnQC9,19,θέλω,θα θέλεις,You will be wanting,Θα θέλεις να έρθεις;,You will be wanting to come?,Future Continuous,2nd,Singular
350,qQaBFvzhe3,20,θέλω,θα θέλει,He/She/It will be wanting,Θα θέλει να μείνει σπίτι.,He/She/It will be wanting to stay home.,Future Continuous,3rd,Singular
351,cXfx1ivBdd,21,θέλω,θα θέλουμε,We will be wanting,Θα θέλουμε να ταξιδέψουμε.,We will be wanting to travel.,Future Continuous,1st,Plural
352,YRQCzpDYAB,22,θέλω,θα θέλετε,You will be wanting,Θα θέλετε να μείνετε;,You will be wanting to stay?,Future Continuous,2nd,Plural
353,atT2hoEvUF,23,θέλω,θα θέλουν,They will be wanting,Θα θέλουν να μείνουν.,They will be wanting to stay.,Future Continuous,3rd,Plural
354,jc6MuYQL7I,24,θέλω,θα θέλω,I will want,Θα θέλω ένα νέο αυτοκίνητο.,I will want a new car.,Future Simple,1st,Singular
355,Vkla98uj8q,25,θέλω,θα θέλεις,You will want,Θα θέλεις να πας στην παραλία;,You will want to go to the beach?,Future Simple,2nd,Singular
356,YvVX5AjnVb,26,θέλω,θα θέλει,He/She/It will want,Θα θέλει να φάει πίτσα.,He/She/It will want to eat pizza.,Future Simple,3rd,Singular
357,6vGR792fQZ,27,θέλω,θα θέλουμε,We will want,Θα θέλουμε να πάμε σινεμά.,We will want to go to the cinema.,Future Simple,1st,Plural
358,fyrw2Uat7V,28,θέλω,θα θέλετε,You will want,Θα θέλετε να βοηθήσετε;,You will want to help?,Future Simple,2nd,Plural
359,qQOUYeen0X,29,θέλω,θα θέλουν,They will want,Θα θέλουν να αγοράσουν ένα σπίτι.,They will want to buy a house.,Future Simple,3rd,Plural
360,LyJvdHE4iV,0,κάθομαι,κάθησα,I sat,Κάθησα στον καναπέ.,I sat on the sofa.,Past Simple,1st,Singular
361,H9pAAbRNwR,1,κάθομαι,κάθησες,You sat,Κάθησες δίπλα μου.,You sat next to me.,Past Simple,2nd,Singular
362,XXcyIwlrxA,2,κάθομαι,κάθισε,He/She/It sat,Το βιβλίο κάθισε στο τραπέζι.,The book sat on the table.,Past Simple,3rd,Singular
363,mCPwIBW4r3,3,κάθομαι,καθήσαμε,We sat,Καθήσαμε στην παραλία.,We sat on the beach.,Past Simple,1st,Plural
364,v7HbJofhVB,4,κάθομαι,καθήσατε,You sat,Καθήσατε γύρω από το τραπέζι.,You sat around the table.,Past Simple,2nd,Plural
365,PlRYul0Djc,5,κάθομαι,κάθησαν,They sat,κάθησαν στην καφετέρια.,They sat at the cafe.,Past Simple,3rd,Plural
366,eLiDHuWK9u,6,κάθομαι,κάθόμουν,I was sitting,Κάθόμουν στο γραφείο.,I was sitting at the desk.,Past Continuous,1st,Singular
367,SvfasIiQdf,7,κάθομαι,κάθονταν,You were sitting,κάθονταν  στην καρέκλα.,You were sitting in the chair.,Past Continuous,2nd,Singular
368,w0rlT8TtAK,8,κάθομαι,κάθονταν,He/She/It was sitting,Κάθονταν  στο μπαλκόνι.,He/She/It was sitting on the balcony.,Past Continuous,3rd,Singular
369,PvVPvhhfFV,9,κάθομαι,καθόμασταν,We were sitting,Καθόμασταν στο αυτοκίνητο.,We were sitting in the car.,Past Continuous,1st,Plural
370,Qnr8IfAg4o,10,κάθομαι,καθόσασταν,You were sitting,Καθόσασταν στην αίθουσα.,You were sitting in the hall.,Past Continuous,2nd,Plural
371,VGt0NCDEc3,11,κάθομαι,κάθονταν,They were sitting,κάθονταν στην εξοχή.,They were sitting in the countryside.,Past Continuous,3rd,Plural
